epoch, epoch_psnr_avg, epoch_losses_avg 
  1, 27.6311, 0.068563
  2, 28.7689, 0.036621
  3, 29.2125, 0.033727
  4, 29.1095, 0.033211
  5, 29.5514, 0.031930
  6, 29.6939, 0.030705
  7, 29.9311, 0.030313
  8, 30.0886, 0.029860
  9, 30.1372, 0.029311
 10, 30.1956, 0.029537
 11, 30.2478, 0.028715
 12, 30.3681, 0.028682
 13, 30.3957, 0.028651
 14, 30.4975, 0.028661
 15, 30.5282, 0.027731
 16, 30.6163, 0.028500
 17, 30.6450, 0.028532
 18, 30.6756, 0.027372
 19, 30.6584, 0.027188
 20, 30.7570, 0.027778
 21, 30.7704, 0.027923
 22, 30.3085, 0.027680
 23, 30.8403, 0.028317
 24, 30.8823, 0.027414
 25, 30.9017, 0.027426
 26, 30.9898, 0.027587
 27, 31.0289, 0.026999
 28, 31.0681, 0.027628
 29, 31.1251, 0.027555
 30, 31.1115, 0.026849
 31, 30.9774, 0.026891
 32, 31.0146, 0.027111
 33, 31.1923, 0.026531
 34, 30.9671, 0.026686
 35, 31.2212, 0.026919
 36, 31.1345, 0.026580
 37, 31.3354, 0.026581
 38, 31.2845, 0.026740
 39, 31.2878, 0.027398
 40, 31.3242, 0.026372
 41, 31.3605, 0.026303
 42, 31.3186, 0.026658
 43, 31.3408, 0.026311
 44, 31.4284, 0.026873
 45, 31.3749, 0.026438
 46, 31.2031, 0.026645
 47, 31.4778, 0.026500
 48, 31.4710, 0.026556
 49, 31.5166, 0.026618
 50, 31.2900, 0.026441
 51, 31.2860, 0.025950
 52, 31.5399, 0.026213
 53, 31.3369, 0.026250
 54, 31.5728, 0.026402
 55, 31.6103, 0.026198
 56, 31.5348, 0.025786
 57, 31.5316, 0.026206
 58, 31.5570, 0.025963
 59, 31.5174, 0.025660
 60, 31.5564, 0.025978
 61, 31.6110, 0.026258
 62, 31.6590, 0.025632
 63, 31.4764, 0.025658
 64, 31.6014, 0.026255
 65, 31.5069, 0.026084
 66, 31.6680, 0.026058
 67, 31.6350, 0.026164
 68, 31.5762, 0.025641
 69, 31.6749, 0.025422
 70, 31.6548, 0.026077
 71, 31.6661, 0.025792
 72, 31.7077, 0.025611
 73, 31.6713, 0.025884
 74, 31.7172, 0.025911
 75, 31.7083, 0.025982
 76, 31.6566, 0.025764
 77, 31.5799, 0.025936
 78, 31.6902, 0.025662
 79, 31.7543, 0.025864
 80, 31.7587, 0.025468
 81, 31.7714, 0.025285
 82, 31.7773, 0.025504
 83, 31.7757, 0.025721
 84, 31.5986, 0.025673
 85, 31.7446, 0.025716
 86, 31.6934, 0.025775
 87, 31.7923, 0.025457
 88, 31.6927, 0.025053
 89, 31.8273, 0.025766
 90, 31.8086, 0.025189
 91, 31.8655, 0.026298
 92, 31.6870, 0.025496
 93, 31.8341, 0.025109
 94, 31.7823, 0.025631
 95, 31.8438, 0.024912
 96, 31.7886, 0.025147
 97, 31.8590, 0.025366
 98, 31.8109, 0.025533
 99, 31.7500, 0.025635
100, 31.8664, 0.025382
101, 31.8993, 0.025464
102, 31.8677, 0.025577
103, 31.7177, 0.025494
104, 31.7539, 0.025541
105, 31.7613, 0.025318
106, 31.8929, 0.025506
107, 31.7996, 0.025280
108, 31.8752, 0.024680
109, 31.8848, 0.024848
110, 31.9255, 0.024990
111, 31.7975, 0.025630
112, 31.8987, 0.025165
113, 31.7415, 0.025176
114, 31.7417, 0.025819
115, 31.8313, 0.025118
116, 31.8535, 0.024933
117, 31.8608, 0.025393
