epoch, epoch_psnr_avg, epoch_losses_avg 
  1, 27.1707, 0.075906
  2, 28.4896, 0.038447
  3, 29.1351, 0.034914
  4, 29.2044, 0.032485
  5, 29.3393, 0.032105
  6, 29.3331, 0.031406
  7, 29.6062, 0.030162
  8, 29.6365, 0.030148
  9, 29.9459, 0.030182
 10, 30.0766, 0.029807
 11, 30.1590, 0.028991
 12, 30.1304, 0.028924
 13, 30.3355, 0.028727
 14, 30.3852, 0.027891
 15, 30.5553, 0.028556
 16, 30.5154, 0.027826
 17, 30.5652, 0.027970
 18, 30.5748, 0.028034
 19, 30.7112, 0.027870
 20, 30.6981, 0.027598
 21, 30.7849, 0.027955
 22, 30.7386, 0.027198
 23, 30.7832, 0.027693
 24, 30.8458, 0.027789
 25, 30.8158, 0.027743
 26, 30.9855, 0.026628
 27, 30.9223, 0.026872
 28, 31.0397, 0.026947
 29, 31.0762, 0.027512
 30, 31.0555, 0.027812
 31, 31.1600, 0.026846
 32, 30.6091, 0.027099
 33, 31.2248, 0.026675
 34, 31.1765, 0.026584
 35, 31.1839, 0.027375
 36, 31.2300, 0.026705
 37, 31.2211, 0.026437
 38, 31.2688, 0.026903
 39, 31.2957, 0.026842
 40, 31.2694, 0.026419
 41, 31.1064, 0.026150
 42, 31.1156, 0.026612
 43, 31.3340, 0.026478
 44, 31.3476, 0.025963
 45, 31.4408, 0.026322
 46, 31.4211, 0.026352
 47, 31.4883, 0.025971
 48, 31.3990, 0.026787
 49, 31.3330, 0.026686
 50, 31.5221, 0.026256
 51, 31.5480, 0.025378
 52, 31.5120, 0.025636
 53, 29.5955, 0.025998
 54, 31.4970, 0.026911
 55, 31.3296, 0.026166
 56, 31.5889, 0.025731
 57, 31.3909, 0.025955
 58, 31.4149, 0.026273
 59, 31.6186, 0.025416
 60, 31.6230, 0.026198
 61, 31.5772, 0.026041
 62, 31.6421, 0.025891
 63, 31.6270, 0.026004
 64, 31.6630, 0.026008
 65, 31.6411, 0.025757
 66, 31.5794, 0.025530
 67, 31.6671, 0.025914
 68, 31.6446, 0.025762
 69, 31.6907, 0.025697
 70, 31.7511, 0.025046
 71, 31.7589, 0.026013
 72, 31.6769, 0.025965
 73, 31.6937, 0.025513
 74, 31.5517, 0.025863
 75, 31.5817, 0.025497
 76, 31.8022, 0.025582
 77, 31.6110, 0.025221
 78, 31.7339, 0.025395
 79, 31.6895, 0.025608
 80, 31.7477, 0.025865
 81, 31.7911, 0.025551
 82, 31.8078, 0.025490
 83, 31.7926, 0.025774
 84, 31.6442, 0.025367
 85, 31.8596, 0.025269
 86, 31.7198, 0.025665
 87, 31.8813, 0.025416
 88, 31.7628, 0.025174
 89, 31.6080, 0.025592
 90, 31.8026, 0.025552
 91, 31.7715, 0.025406
 92, 31.8657, 0.025550
 93, 31.8519, 0.025033
 94, 31.8051, 0.024885
 95, 31.7934, 0.025960
 96, 31.7909, 0.024903
 97, 31.8198, 0.025546
 98, 31.9057, 0.025196
