epoch, epoch_psnr_avg, epoch_losses_avg 
  1, 27.0330, 0.077891
  2, 27.7903, 0.041396
  3, 28.7572, 0.036174
  4, 28.3194, 0.033076
  5, 29.0669, 0.033156
  6, 29.1706, 0.032737
  7, 29.3122, 0.031465
  8, 29.0972, 0.031167
  9, 29.2936, 0.030374
 10, 29.3034, 0.031042
 11, 29.4752, 0.031093
 12, 29.4068, 0.030135
 13, 29.6520, 0.030248
 14, 29.7580, 0.029941
 15, 29.8461, 0.029898
 16, 29.9402, 0.028994
 17, 29.9866, 0.029919
 18, 29.8196, 0.029469
 19, 30.1490, 0.029345
 20, 29.7701, 0.029201
 21, 30.0148, 0.028890
 22, 30.2908, 0.028629
 23, 30.3045, 0.027643
 24, 30.2919, 0.028314
 25, 30.4232, 0.028668
 26, 30.3904, 0.028422
 27, 30.2797, 0.028538
 28, 30.4030, 0.027969
 29, 30.4975, 0.027769
 30, 29.4905, 0.027802
 31, 30.3240, 0.027984
 32, 30.5805, 0.027961
 33, 30.2432, 0.027356
 34, 30.3272, 0.028016
 35, 30.6694, 0.027371
 36, 30.5407, 0.027420
 37, 30.6078, 0.027508
 38, 30.6785, 0.027017
 39, 30.8016, 0.028236
 40, 30.7786, 0.027357
 41, 30.8884, 0.027382
 42, 30.8316, 0.027139
 43, 30.8197, 0.027086
 44, 30.8969, 0.027359
 45, 30.5192, 0.027451
 46, 30.9265, 0.027254
 47, 30.9954, 0.026957
 48, 30.9413, 0.026929
 49, 31.0470, 0.027031
 50, 31.0575, 0.026655
 51, 30.7750, 0.026667
 52, 30.8269, 0.027233
 53, 31.0504, 0.026999
 54, 31.1231, 0.027216
 55, 30.9907, 0.026980
 56, 30.9653, 0.026890
 57, 31.1145, 0.026835
 58, 31.1623, 0.026731
 59, 31.1946, 0.026650
 60, 31.2267, 0.026242
 61, 31.1665, 0.026832
 62, 31.1865, 0.026750
 63, 31.1824, 0.026515
 64, 31.2936, 0.026520
 65, 31.2252, 0.026462
 66, 31.1739, 0.026569
 67, 31.1726, 0.026510
 68, 31.0415, 0.026603
 69, 31.3248, 0.026208
 70, 31.3299, 0.026182
 71, 31.3533, 0.026143
 72, 31.3927, 0.026560
 73, 31.2987, 0.026810
 74, 31.4043, 0.026214
 75, 31.3392, 0.026470
 76, 31.3039, 0.026415
 77, 31.4797, 0.025889
 78, 31.4088, 0.026480
 79, 31.4450, 0.026857
 80, 31.4247, 0.025779
 81, 31.4732, 0.026401
 82, 31.4854, 0.026302
 83, 30.6858, 0.026112
 84, 31.4603, 0.026356
 85, 31.5554, 0.025965
 86, 31.5450, 0.025895
 87, 31.5277, 0.026295
 88, 31.5557, 0.025468
 89, 31.5782, 0.026080
 90, 31.5393, 0.026211
 91, 31.5392, 0.025573
 92, 31.6056, 0.025379
 93, 31.5042, 0.025772
 94, 31.5811, 0.025876
 95, 31.4913, 0.026071
 96, 31.6176, 0.025837
 97, 31.3976, 0.025651
 98, 31.6839, 0.025822
 99, 31.6259, 0.025973
100, 31.5728, 0.026482
101, 31.6794, 0.025516
102, 31.6665, 0.025591
103, 31.5664, 0.025689
104, 31.6103, 0.025638
105, 31.5518, 0.025623
