epoch, epoch_psnr_avg, epoch_losses_avg 
  1, 27.8327, 0.068211
  2, 28.9701, 0.036200
  3, 29.1480, 0.033444
  4, 29.4794, 0.031686
  5, 29.5900, 0.031210
  6, 29.5614, 0.030539
  7, 29.9415, 0.030155
  8, 30.1536, 0.029988
  9, 30.1544, 0.029329
 10, 30.3320, 0.029575
 11, 30.4036, 0.028491
 12, 30.4544, 0.028436
 13, 30.5273, 0.028102
 14, 30.0784, 0.028222
 15, 30.5776, 0.029647
 16, 30.6659, 0.028489
 17, 30.7111, 0.027393
 18, 30.7688, 0.027828
 19, 30.8103, 0.028031
 20, 30.8770, 0.027862
 21, 30.8813, 0.027540
 22, 30.7943, 0.027749
 23, 31.0473, 0.028235
 24, 30.9667, 0.027551
 25, 30.9524, 0.027001
 26, 31.1139, 0.027694
 27, 31.0009, 0.026912
 28, 31.1742, 0.026617
 29, 31.1082, 0.027317
 30, 31.1359, 0.026846
 31, 31.1589, 0.026932
 32, 31.2669, 0.027007
 33, 30.8991, 0.026579
 34, 31.0213, 0.026670
 35, 31.2971, 0.027097
 36, 31.2652, 0.026609
 37, 31.2411, 0.026446
 38, 31.2565, 0.026380
 39, 31.3174, 0.026754
 40, 31.2133, 0.026576
 41, 31.3281, 0.026998
 42, 31.4699, 0.026348
 43, 31.4153, 0.026957
 44, 31.4240, 0.026077
 45, 31.4153, 0.026030
 46, 31.5104, 0.026253
 47, 31.5678, 0.026349
 48, 31.4127, 0.026022
 49, 31.4634, 0.026160
 50, 31.5039, 0.026082
 51, 31.5366, 0.026183
 52, 31.5545, 0.026255
 53, 31.5258, 0.026199
 54, 31.4983, 0.025738
 55, 31.7217, 0.026750
 56, 31.5954, 0.026046
 57, 31.6369, 0.026214
 58, 31.4960, 0.026099
 59, 31.6010, 0.025901
 60, 31.7003, 0.026001
 61, 31.6538, 0.025646
 62, 31.6258, 0.026204
 63, 31.6904, 0.025630
 64, 31.4416, 0.025385
 65, 31.7886, 0.025748
 66, 31.5874, 0.026142
 67, 31.7209, 0.025976
